DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2022-04-16T00:00:00,2022-04-16T13:28:44.541,69,21,30,19,30,29,40,READY,false
2022-04-17T00:00:00,2022-04-17T12:31:55.22,81,25,30,17,30,39,40,READY,false
2022-04-18T00:00:00,2022-04-18T12:22:15.195,81,25,30,23,30,33,40,READY,false
2022-04-19T00:00:00,2022-04-19T13:24:39.776,81,27,30,21,30,33,40,READY,false
2022-04-20T00:00:00,2022-04-20T13:30:45.929,73,25,30,18,30,30,40,READY,false
2022-04-21T00:00:00,2022-04-21T14:29:49.761,73,22,30,20,30,31,40,READY,false
2022-04-22T00:00:00,2022-04-22T13:27:09.326,77,25,30,20,30,32,40,READY,false
2022-04-23T00:00:00,2022-04-23T12:47:19.171,84,25,30,20,30,39,40,READY,false
2022-04-24T00:00:00,2022-04-24T13:30:29.83,81,25,30,19,30,37,40,READY,false
2022-04-25T00:00:00,2022-04-25T12:00:30.504,79,25,30,21,30,33,40,READY,false
2022-04-26T00:00:00,2022-04-26T13:26:30.652,81,28,30,18,30,35,40,READY,false
2022-04-27T00:00:00,2022-04-27T13:34:42.269,76,22,30,23,30,31,40,READY,false
2022-04-28T00:00:00,2022-04-28T12:10:30.278,74,22,30,19,30,33,40,READY,false
2022-04-29T00:00:00,2022-04-29T16:20:39.612,72,25,30,15,30,32,40,READY,false
2022-04-30T00:00:00,2022-04-30T14:25:17.878,67,25,30,14,30,28,40,READY,false
2022-05-01T00:00:00,2022-05-01T14:01:36.087,72,21,30,23,30,28,40,READY,false
2022-05-02T00:00:00,2022-05-02T15:38:32.643,75,24,30,24,30,27,40,READY,false
2022-05-03T00:00:00,2022-05-03T11:45:42.299,70,24,30,18,30,28,40,READY,false
2022-05-04T00:00:00,2022-05-04T13:02:22.617,73,23,30,23,30,27,40,READY,false
2022-05-05T00:00:00,2022-05-05T11:33:59.58,71,26,30,16,30,29,40,READY,false
2022-05-06T00:00:00,2022-05-06T12:26:10.309,73,25,30,19,30,29,40,READY,false
2022-05-07T00:00:00,2022-05-07T14:25:55.931,77,25,30,22,30,30,40,READY,false
2022-05-08T00:00:00,2022-05-08T15:41:27.892,73,26,30,17,30,30,40,READY,false
2022-05-09T00:00:00,2022-05-10T02:40:22.905,73,24,30,21,30,28,40,READY,false
2022-05-10T00:00:00,2022-05-10T13:39:00.831,75,25,30,17,30,33,40,READY,false
2022-05-11T00:00:00,2022-05-11T13:52:14.98,79,26,30,21,30,32,40,READY,false
2022-05-12T00:00:00,2022-05-12T11:44:04.237,78,28,30,17,30,33,40,READY,false
2022-05-13T00:00:00,2022-05-13T14:21:38.979,79,25,30,21,30,33,40,READY,false
2022-05-14T00:00:00,2022-05-14T15:05:21.663,78,28,30,20,30,30,40,READY,false
2022-05-15T00:00:00,2022-05-15T15:03:00.597,84,28,30,27,30,29,40,READY,false
2022-05-16T00:00:00,2022-05-16T15:11:21.118,71,24,30,17,30,30,40,READY,false
2022-05-17T00:00:00,2022-05-17T13:42:04.535,80,27,30,22,30,31,40,READY,false
2022-05-18T00:00:00,2022-05-18T13:19:10.291,77,21,30,26,30,30,40,READY,false
2022-05-19T00:00:00,2022-05-19T11:43:18.877,71,25,30,17,30,29,40,READY,false
2022-05-20T00:00:00,2022-05-20T21:53:10.088,78,23,30,28,30,27,40,READY,false
2022-05-21T00:00:00,2022-05-21T13:48:24.841,73,27,30,20,30,26,40,READY,false
2022-05-22T00:00:00,2022-05-22T13:19:27.906,77,29,30,21,30,27,40,READY,false
