food_name,glycemic_index,glycemic_load,category
Beef Stroganoff,56,7.3,meat
"Ham, sliced, sausages",0,0.0,meat
"Beef (steak, etc.)",0,0.0,meat
Boiled lean beef,0,0.0,meat
Boiled beef tongue,0,0.0,meat
Beef brains,0,0.0,meat
Roast beef liver,50,0.0,meat
Goose,0,0.0,meat
Turkey,0,0.0,meat
Turkey (boiled),0,0.0,meat
Cooked sausage,34,9.5,meat
Pork cutlets,50,9.8,meat
Rabbit,0,0.0,meat
Rabbit (fried),0,0.0,meat
Boiled chicken breast,0,0.0,meat
Chicken,0,0.0,meat
Chicken (fried),0,0.0,meat
Kidneys (braised),0,0.0,meat
Fat,0,0.0,meat
Sausages,30,0.6,meat
Fried pork,0,0.0,meat
Fat Pork,0,0.0,meat
Grilled pork,0,0.0,meat
Lean pork,0,0.0,meat
Sausages,28,6.7,meat
Veal,0,0.0,meat
Boiled veal,0,0.0,meat
Roast duck,0,0.0,meat
Duck,0,0.0,meat
"Foie gras, goose liver paste (canned)",0,0.0,meat
Chickens,0,0.0,meat
Mushrooms,15,0.8,mushrooms
Mushrooms (cooked),36,1.9,mushrooms
Peanut,15,2.4,nuts
Peanuts (Dry Roasted),15,2.3,nuts
White almond paste / puree (without sweeteners),35,16.7,nuts
Walnuts,15,1.1,nuts
Acorns,25,10.3,nuts
Chestnut,60,26.5,nuts
Pine nuts,15,2.9,nuts
Cashew nuts,25,3.1,nuts
Cashew nuts (salted),22,6.6,nuts
Coconut,45,0.8,nuts
Hazelnuts,25,2.5,nuts
Almond,15,1.9,nuts
Walnut,15,2.1,nuts
Hazelnut,15,2.5,nuts
Pine nuts,15,1.9,nuts
Cashew nuts,15,4.5,nuts
Nuts (mix with raisins),21,9.8,nuts
Tamarind (sweet),65,40.8,nuts
Pistachios,15,4.2,nuts
Peanut Oil (Sugar Free),40,8.6,oil_and_sauces
Goose fat,0,0.0,oil_and_sauces
Fat (animal / vegetable),0,0.0,oil_and_sauces
Coconut milk (raw),40,1.1,oil_and_sauces
Mayonnaise (homemade),0,0.0,oil_and_sauces
Mayonnaise (sweetened),60,0.2,oil_and_sauces
Margarine,0,0.0,oil_and_sauces
Butter,0,0.0,oil_and_sauces
Almond oil,25,0.0,oil_and_sauces
Olive oil,0,0.0,oil_and_sauces
Pesto (sauce),15,0.9,oil_and_sauces
Vegetable fat,0,0.0,oil_and_sauces
Butter (high fat),14,0.1,oil_and_sauces
Soy sauce,20,1.0,oil_and_sauces
Mashed Tomato,35,3.1,oil_and_sauces
"Tomato sauce (natural, sugar free)",35,1.3,oil_and_sauces
Red caviar,0,0.0,seafood
"Seafood (oysters, shrimp, mussels, etc.)",0,0.0,seafood
"Crustaceans (lobster, crab, spiny lobster)",5,0.1,seafood
"Fish (salmon, tuna, etc.)",0,0.0,seafood
Surimi (minced fish in crab sticks),50,3.4,seafood
Vegetable soup,40,2.5,soups
Lentil soup puree,44,6.6,soups
Vegetable soup,60,2.2,soups
Soup with chicken and mushrooms,46,0.7,soups
Tomato soup,38,2.7,soups
Lentil soup,30,2.4,soups
Basil,5,0.1,spices
Balsamic vinegar,5,2.8,spices
Vanilla,5,3.3,spices
Mustard (with sugar),55,5.9,spices
Dijon mustard,35,3.3,spices
Ginger,15,0.6,spices
Ketchup,55,14.0,spices
Hemp seed (peeled),4,0.3,spices
Cinnamon,5,2.9,spices
Sesame,35,8.1,spices
"Sesame paste, tahini",40,4.9,spices
Sesame seed,35,4.3,spices
Carob (carob powder),15,11.7,spices
Lotus (root powder),33,4.1,spices
Flaxseed,35,0.6,spices
Lupine,15,6.1,spices
Poppy seed,35,9.8,spices
"Cassava (bitter, sweet)",55,20.9,spices
Oregano,5,3.2,spices
Spices (cinnamon),5,4.0,spices
Caraway,5,0.6,spices
Vinegar,15,0.0,spices
Horseradish,10,1.1,spices
Garlic,30,9.0,spices
Peanut Butter (Sugar Free),25,7.0,sweets
"Muesli Bar, Gluten Free",50,37.1,sweets
White chocolate,44,26.0,sweets
Glucose,96,94.1,sweets
Glucose (Dextrose),100,95.0,sweets
Jam,51,47.5,sweets
Maple syrup,55,36.9,sweets
Strawberry Jam (High Sugar),65,45.5,sweets
Strawberry Jam (Low Sugar),51,31.1,sweets
Coconut Sugar,35,1.8,sweets
Chocolate candy with sweeteners,23,8.2,sweets
Corn Syrup (Dark),115,89.2,sweets
Marmalade (sugar free),30,22.2,sweets
Marmalade with sugar,65,49.8,sweets
Honey,60,45.8,sweets
Molasses,70,52.5,sweets
Almond paste (sugar free),35,15.1,sweets
Condensed milk with sugar,80,6.8,sweets
Milk chocolate,49,28.9,sweets
Syrup,70,54.8,sweets
Chocolate bar (with sugar),70,38.1,sweets
Air rice (analogue of popcorn),85,76.3,sweets
Sugar,58,58.0,sweets
Brown sugar,70,68.6,sweets
Condensed milk,61,32.9,sweets
Glucose syrup,100,70.5,sweets
Maple syrup,65,43.5,sweets
Corn syrup,15,11.7,sweets
Wheat syrup,100,78.0,sweets
Rice Syrup,100,77.0,sweets
Chicory Syrup,55,5.2,sweets
Sorbet (sugar free),40,4.8,sweets
Sorbet (with sugar),65,17.9,sweets
Stevia,0,0.0,sweets
Fruit Bar (strawberry),90,60.8,sweets
Fructose,20,20.0,sweets
Dark Chocolate (with 85% Cocoa Content),20,9.6,sweets
Sorbet,65,52.5,sweets
Chocolate,49,29.9,sweets
Chocolate (+ 70% cocoa),25,9.0,sweets
Dark chocolate,23,13.8,sweets
Chocolate powder with sugar,60,19.1,sweets
Sherbet,50,27.6,sweets
Avocado,10,0.9,vegetables
Artichoke,20,1.2,vegetables
Eggplant,20,1.7,vegetables
Eggplant Caviar,40,5.3,vegetables
"Sweet potato (batata, yam)",70,11.1,vegetables
Broccoli,15,0.5,vegetables
Broccoli (cooked),45,3.1,vegetables
"Rutabaga, fodder beets",70,6.1,vegetables
Brussels sprouts (fresh),15,1.1,vegetables
Boiled potatoes,70,12.3,vegetables
Baked potato,95,20.0,vegetables
Squash caviar,75,3.6,vegetables
Squash,15,0.7,vegetables
Capers,20,0.8,vegetables
White cabbage,15,0.9,vegetables
Brussels sprouts,15,0.3,vegetables
Sauerkraut,15,0.8,vegetables
Cauliflower,15,0.8,vegetables
Fried potato,95,19.1,vegetables
Mashed potatoes,83,11.4,vegetables
Kohlrabi,20,2.1,vegetables
Pickled Cucumber,15,0.7,vegetables
Black olives,15,4.8,vegetables
Carrot (cooked),85,4.3,vegetables
Carrot (fresh),30,2.0,vegetables
Canned vegetables (factory),65,3.4,vegetables
Cucumber,15,0.4,vegetables
Dill pickles,15,0.2,vegetables
Olives,15,0.9,vegetables
Parsnip,85,15.3,vegetables
Chinese cabbage,20,0.4,vegetables
Sweet pepper,15,0.8,vegetables
Chilli,15,1.4,vegetables
Chilli Green (Fresh),15,1.2,vegetables
Tomatoes (fresh),30,1.1,vegetables
Ratatouille,20,1.0,vegetables
Rhubarb,15,0.4,vegetables
Radish,15,0.5,vegetables
"Turnip (cooked, boiled)",85,3.9,vegetables
Turnip (raw),30,1.9,vegetables
Beets (Boiled),65,7.0,vegetables
Beetroot (fresh),30,2.6,vegetables
Scorzonera (Kozelec),30,0.3,vegetables
"Sweet pepper (red, green), paprika",15,1.0,vegetables
Salted cucumbers,15,0.3,vegetables
Tomatoes,30,1.1,vegetables
Tomatoes (dried),35,10.2,vegetables
Jerusalem artichoke (fresh),50,6.4,vegetables
"Turnip, turnip (fresh)",30,1.8,vegetables
Pumpkin,65,4.5,vegetables
Pumpkin (boiled),75,5.3,vegetables
Cauliflower (fresh),15,0.8,vegetables
Braised Cauliflower,15,0.0,vegetables
Zucchini,15,0.5,vegetables
"Chayote (Mexican cucumber), mashed from it",50,2.3,vegetables
Yeast,35,6.3,others
Brewer’s yeast,35,0.0,others
Maltodextrin,95,94.0,others
Palm pulp,20,1.2,others
Omelette,49,7.3,others
Dumplings,86,24.9,others
Ravioli (from soft wheat),70,20.8,others
Ravioli (from durum wheat),40,11.6,others
Sushi,55,11.6,others
"Sushi, salmon",48,7.3,others
Tacos,70,14.0,others
Tapioca (dried),85,74.6,others
Taro,48,12.7,others
Tahin,40,8.4,others
Egg powder,60,2.7,others
Egg,0,0.0,others
